Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail
PLANNING OFFICER (MOROWALI),"PT AKR Corporindo, Tbk",Morowali,,"Manufaktur, Transportasi & Logistik",Manajemen Armada,,2024-03-09,Full time,"Job DescriptionPerform distribution planning activities for Branch according to schedule and quantity from Sales Order (SO)Perform daily administration related to Surat JalanImprove self competencies through relevant and effective training and development program Qualifications:Age max 35 years oldS1 Degree economy, engineering, administration GPA 3,00Min 1 Years experience in administration jobGood working knowledge in logistic administrationGood analytical thinking & detail oriented",https://www.jobstreet.co.id/id/job/74330160?type=standard&ref=search-standalone
SALES MANAGER,PT Multi Solusindo Perkasa,Jakarta Raya,"Rp9,000,000 – Rp11,000,000 per month",Penjualan,Manajemen,"Free Parking Membership, Annual Gathering",23 jam yang lalu,Full time,"About usPT Multi Solusindo Perkasa was established in 2011, formed as an answer to the challenges faced in the very rapid development in the field of general contractors especially IT infrastructure cable systems, data centers, maintenance, IoT infrastructure.Qualifications & experienceAt least 3 years with the same position
Experience in IT Infrastructure, UPS , CCTV and IoT.Tasks & responsibilitiesMonitoring and analyzing client data, including sales metrics, usage patterns, and customer behavior. 
Identify trends, spot opportunities, and make data-driven decisions to enhance client satisfaction.",https://www.jobstreet.co.id/id/job/74383061?type=standout&ref=search-standalone
Customer Service Oline,Property99.id Semarang,Semarang Selatan,,Call Center & Layanan Konsumen,Layanan Konsumen – Call Center,,2024-03-12,Paruh waktu,"*Job Desk*
membalas Chat Via Whatsapp Respon Klien yang hendak membangun/renovasi Rumah/property lainnya
*Syarat*
1. SMA/SMK/MA
2. Domisili jawa/bali
3. HP Minim ram 4 
4. Komunikasi baik
5. Fast Respon balas chat
*Sistem Kerja*
sistem kerja di Property99 full online, jadi ini bisa dipakai untuk pekerjaan Fulltime atau part time. namun bukan sometime ya
jadi kami membutuhkan kandidat yang memiliki komitmen di dalamnyaPersyaratan minimum:

Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang, Sore
Selasa: Pagi, Siang, Sore
Rabu: Pagi, Siang, Sore
Kamis: Pagi, Siang, Sore
Jum'at: Pagi, Siang, Sore
Sabtu: Pagi, Siang, Sore
Minggu: Pagi, Siang, Sore


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 01 April 2024
Gaji yang diinginkan: Rp2,000,000 - Rp4,000,000 per bulan",https://www.jobstreet.co.id/id/job/74400162?type=standard&ref=search-standalone
Kasir,Cafe Kami Indonesia,Bali,Rp2.500.000 – Rp3.500.000 per month,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-12,Full time,Tugas dan Tanggung jawabMelayani pembayaran konsumenMereka hasil harianMereka hasil bulananPencatatan operasionalKualifikasiUsia maks 28 thPendidikan min sma/sederajatDiutamakan pengalamanJujurDisiplin,https://www.jobstreet.co.id/id/job/74364847?type=standard&ref=search-standalone
Staff Website (Digital Marketing),PT Surya Darma Perkasa,Jakarta Barat,,Pemasaran & Komunikasi,Manajemen Brand,,2024-03-09,Kontrak,"Kualifikasi:Pendidikan minimal D3/S1 semua jurusanBerpengalaman minimal 2 tahun dalam bidang digital marketingMenguasai pemasaran digital, pengelolaan media social, content strategy, membuat artikel, SEO & maintenanceBerpengalaman mengelola website perusahaan Komunikatif, inovatif, kreatifBerorientasi pada target, inisiatif tinggi, kerjasama timDeskripsi pekerjaan:Mengelola aktivitas digital marketing, search engine advertising dan social media advertising Megoptimalkan konten untuk situs web dan social media seperti facebook, instagram, twitter, tiktok, google, dllMembuat panduan, materi dan program digital marketingMembuat laporan serta analisa kegiatan advertising yang dijalankan",https://www.jobstreet.co.id/id/job/74340861?type=standout&ref=search-standalone
Office Staff (OB/OG),Bakso Malang Langgeng/Excelsis Sunda Resto,Lengkong,,Keterampilan & Jasa,Jasa Kebersihan,,2024-03-11,Full time,"DIBUTUHKAN SEGERA
OFFICE STAFF (OB/OG)
-Pengalaman Kerja tidak diutamakan
-Cekatan, inisiatif, dan rajin membersihkan lingkungan tempat kerja secara rutin
-Bisa menjaga kebersihan lingkungan tempat kerja
-Bersedia ditempatkan di Kota Tasikmalaya
-Training di Bandung (Khusus Training Mess disediakan)
Persyaratan minimum:
Tersedia jam fleksibel
Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 25 March 2024",https://www.jobstreet.co.id/id/job/74348048?type=standard&ref=search-standalone
Asisten Manager Finance Accounting,,Jakarta Utara,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-12,Full time,"Tugas Pekerjaan:Mengawasi pembuatan pengaturan administrasi keuangan perusahaanMemahami COGSMembuat & memeriksa laporan keuanganMembuat & memeriksa jurnal pembukuanClosing pembukuan tiap bulanMengerjakan laporan pajakMengawasi operasional harian financeMelaporkan rincian pekerjaan yang tertera diatas setiap hari kepada ownerKualifikasi:Usia maksimal 45 TahunPengalaman sebagai Finance, Accounting, Tax (FAT) Chief/ Assisten FAT minimal 5 tahun Minimal lulusan S1 jurusan Accounting/Manajemen (Fresh Graduate diperbolehkan melamar)Diutamakan memiliki pengalaman FAT di perusahaan manufakturMemiliki jiwa kepemimpinan, komunikasi, & team work yang baikDapat bekerja di bawah tekananDetail dan berorientasi pada targetBersedia melakukan perjalanan dinas apabila diperlukanBersedia ditempatkan di Subang-Jawa Barat",https://www.jobstreet.co.id/id/job/74381186?type=standout&ref=search-standalone
Admin Office,Eigen Natur Indo,Cicendo,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,15 jam yang lalu,Full time,"Deskripsi Pekerjaan : 
1. Monitoring dan pembuatan kontrak kerja karyawan
2. Menyiapkan laporan presensi karyawan
3. Mendata stock produk
4. Merekap kebutuhan dan mengajukannya ke Finance
5. Melakukan tugas kantor umum, seperti memesan kebutuhan operasional kantor, mempertahankan sistem manajemen data, dan melakukan pekerjaan akuntansi keuangan.
6. Membuat laporan stock opname.
Kualifikasi : 
1. Pendidikan Min SMK jurusan Administrasi Perkantoran
2. Mampu mengoperasikan Ms. Office
3. Memiliki kemampuan menulis, komunikasi & manajemen waktu yang baik
4. Memiliki interpersonal yang cakap
5. Jujur, disiplin, detail, teliti dan mampu bekerja dalam team
6. Berdomisili di Bandung atau Cimahi dan sekitarnya
7. Siap bergabung secepatnya 
Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi


Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP",https://www.jobstreet.co.id/id/job/74399993?type=standard&ref=search-standalone
Supir Barang,CV. Manik AMerta Jaya,Denpasar Utara,Rp2.500.000 – Rp3.500.000 per month,"Manufaktur, Transportasi & Logistik","Kurir, Sopir & Jasa Pos",,19 jam yang lalu,Kasual,"About usCV. Manik Amerta Jaya adalah Distributor Chemical Cleaning / Sabun dengan merek Golden Clean yang saat ini beroperasi di Denpasar dan memiliki ratusan client F&B

Kami sedang membentuk Tim untuk daerah Bali, Tim yang Solid, saling membantu atau support dan dapat bekerja sama.Qualifications & experienceUmur 28 Tahun sampai 38 TahunMengetahui jalan jalan di DenpasarDapat menggunakan Google map atau WazeMemiliki pengalaman min 1 tahunMemiliki fisik dan jiwa yang SehatRajin, Jujur, Dewasa dan memiliki Keseriusan dalam bekerja, jika tidak serius atau hanya mengisi waktu luang, harap jangan menghabiskan waktu kami dan waktu anda yang berhargaTasks & responsibilitiesMelakukan muatan antar barang sesuai dengan tujuan tempat pengiriman barang.Melakukan perawatan kendaraan harian, dan mengisi ceklist kendaraan.Melakukan kontrol atau cek pada kendaraan yang di bawa. BenefitsGaji, Bonus, THR, Uang Lembur",https://www.jobstreet.co.id/id/job/74392863?type=standard&ref=search-standalone
PMC (PPIC) Assistant Supervisor,PT Camino Industrial Indonesia,Jombang,,"Manufaktur, Transportasi & Logistik",Pemimpin Tim/Supervisor,,2024-03-09,Full time,"Job Description: 1. Assist PMC Supervisor to develop and implement production plans and schedules to meet customer demands and optimize resource utilization.2. Coordinate with production teams to ensure timely execution of manufacturing processes and adherence to production schedules.3. Direct PMC Staff for the monitoring and production data analyze to identify bottlenecks, optimize workflows, and improve overall efficiency.4. Collaborate with procurement and logistics teams to ensure timely availability of raw materials and components for production.5. Monitor inventory levels and coordinate with warehouse teams to ensure adequate stock levels while minimizing excess inventory.6. Implement and enforce quality control measures to ensure products meet quality standards and customer requirements.7. Provide leadership and guidance to PMC teams, including training and development of staff.8. Ensure compliance with health and safety regulations in production planning and promote a culture of safety within the PMC environment. Job Requirements:Minimum education: Bachelor's degree in Industrial Engineering, Operations Management, or related field preferred.4 years of experience in production planning and control roles, with demonstrated supervisory experience.Experience in manufacturing environments, preferably in plastics, automotive, electronics, home appliances, or similar industries.Strong leadership and team management skills.Excellent communication and interpersonal skills.Analytical and problem-solving abilities.Proficiency in production planning and control software/tools.Fluent in English or Mandarin will be preferable.",https://www.jobstreet.co.id/id/job/74321612?type=standout&ref=search-standalone
Analis Kimia,Dexa Group,Bekasi,,Sains & Teknologi,Jasa Laboratorium & Teknis,,2024-03-11,Full time,"Deskripsi Pekerjaan:Manganalisa sampel dan membantu pelaksanaan kegiatan penelitian dan pengembangan terkait metode analisis hingga proses transfer metode analisisMencatat dan mengolah hasil analisa penelitian dan pengembanganTerlibat dalam upaya meningkatkan produktivitas kerja serta kompetensi individuKualifikasi:D3 Analisis KimiaMemiliki 1 tahun pengalaman di bidang yang sama (terbuka untuk fresh graduate)Berbahasa Inggris pasifTidak memiliki alergi terhadap zat kimiaPenempatan: Dexa Site Cikarang, Jababeka 2",https://www.jobstreet.co.id/id/job/74355706?type=standard&ref=search-standalone
HEAD KITCHEN,COCOMOCO BAKERY & SNACK,Surabaya,,Hospitaliti & Pariwisata,Chef/Koki,,19 jam yang lalu,Full time,"Cocomoco Bakery, Warjok Araya dan Jiakopi adalah outlet yang memproduksi dan menjual kue, snack, makanan (chinese/malaysian/asian food), minuman seperti : kopi dan minuman non kopi.Outlet kami bertempat di beberapa area di Surabaya dengan customer yang semakin padat dari waktu ke waktu. Untuk itu kami membutuhkan :HEAD KITCHENTugas :Merencanakan menu restoran, merancang metode memasak dan update item menu baru.Memastikan kualitas makanan baik dan harga sesuai.Mengelola penyimpanan bahan baku dan memastikan bahan baku ada saat digunakan.Mengelola budget pembelian bahan baku dan memiliki list bahan baku, resep dan menu.Mengelola prosedur kebersihan dan kesehatan dapur.Mengorganisir staff dapur : membantu melakukan perekrutan, melatih, dan mengembangkan staf.Mempersiapkan makanan yang sudah terstandarisasi oleh perusahaan.Bertanggung jawab atas kebersihan area kitchen inventory bahan makanan dan seluruh perlengkapan kitchen.Kualifikasi : D3 Tataboga dan Perhotelan atau jurusan kuliah yang berhubungan dengan memasak.Usia maksimal 35 tahunMemiliki pengalaman minimal 3-5 tahun sebagai Head Chef Kemampuan mengolah kreasi makanan dengan baik Memiliki komitmen yang tinggi, dapat bekerja cepat dan bisa mengarahkan atau bekerjasama dengan tim yang dipimpinnyaMemiliki pengetahuan terkait dengan higienitas, konsistensi terhadap makanan yang disajikan dan inisiatif untuk memikirkan cara meningkatkan kualitas makananKemampuan dalam mengontrol budget dan mengolah angkaTeliti dalam kontrol stock opname, dapat mengatur waktu dan memperkirakan waktu pembelian bahan baku.",https://www.jobstreet.co.id/id/job/74392606?type=standard&ref=search-standalone
Kasir,CV Anhesa Group,Jawa Tengah,,Ritel & Produk Konsumen,Asisten Ritel,,15 jam yang lalu,Full time,"TOKO RETAIL SEMBAKO
Tugas dan tanggung jawab :

kasir penjualan
Mengola transaksi penjualan

Kualifikasi Pelamar :

Domisili Semarang
Usia maksimal 30 tahun
Pendidikan minimal SMA/SMK sederajat
Jujur dan cekatan
Bisa bekerja secara tim
Bertanggung jawab 

Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Kartu izin tinggal dapat diberikan untuk posisi ini
Gaji yang diinginkan: Rp2,000,000 - Rp2,500,000 per bulan",https://www.jobstreet.co.id/id/job/74399604?type=standard&ref=search-standalone
Beauty Advisor (Lippo Plaza Jember),EUROMEDICA GROUP,Jember,"Rp4,000,000 – Rp5,600,000 per month",Ritel & Produk Konsumen,Asisten Ritel,,2024-03-12,Full time,"Kualifikasi:Minimal SMA, SMK, Diploma, dan Sajana dari semua jurusanMinimal 3 bulan pengalaman kerja di bidang SalesDeskripsi Pekerjaan:Mencari customer baru untuk melakukan treatment di klinikMaintain dan follow up customer dari berbagai networking yang tersediaMelakukan proses konsultasi dan menjawab keluhan CustomerMencapai target penjualanMembuat laporan penjualanKompensasi:Gaji pokok dan tunjangan yang kompetitifKomisi sesuai hasil penjualanMendapatkan pelatihan soft dan hard skillPotensi peningkatan karir",https://www.jobstreet.co.id/id/job/74367624?type=standard&ref=search-standalone
sprinter,J&T Cp Kalianyar 1,Jakarta Raya,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,15 jam yang lalu,Full time,"Tanggung Jawab :

Mengantarkan Paket/Barang sampai Tujuan dengan Selamat
Menguasai Rute Pengiriman
Jujur, Ramah dan Berintegritas
Mampu Mengendarai Motor roda dua
Dapat bekerja sama dalam team

Persyaratan :

Memiliki SIM C aktif & Kendaraan Roda 2
Memiliki KTP

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi
Selasa: Pagi
Rabu: Pagi
Kamis: Pagi
Jum'at: Pagi
Sabtu: Pagi


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 13 March 2024",https://www.jobstreet.co.id/id/job/74400079?type=standard&ref=search-standalone
Data Entry,PT. LINGGARJATI PERKASA,Wonokromo,,Administrasi & Dukungan Perkantoran,Entri Data & Pengolahan Kata,,2024-03-09,Full time,"Mengumpulkan data dan memasukan informasi ke dalam database
Memastikan akurasi data3. Memperbarui Database Jika Diperlukan
Melakukan Backup Informasi Secara Rutin
Mencari Data Secara Cepat
Memilah dan Mengatur Kembali Dokumen Setelah Data Entry

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang, Sore
Selasa: Pagi, Siang, Sore
Rabu: Pagi, Siang, Sore
Kamis: Pagi, Siang, Sore
Jum'at: Pagi, Siang, Sore


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 10 April 2024
Gaji yang diinginkan: Rp5,000,000 per bulan",https://www.jobstreet.co.id/id/job/74331520?type=standard&ref=search-standalone
QC Area Makassar,PT Richeese Kuliner Indonesia,Makassar,,"Manufaktur, Transportasi & Logistik",Penjaminan & Kontrol Mutu,,2024-03-09,Full time,"Melakukan audit internal (outlet) dan eksternal (supplier) dan melakukan inspeksi, evaluasi seluruh kegiatan yang berkaitan dengan produksi, penanganan sanitasi dan pelayanan atas konsumen untuk memastikan bahwa pelaksanaannya sudah sesuai standar kualitas yang ditetapkan dan berpedoman pada quality plan yang berlaku di perusahaan. KualifikasiPendidikan minimal S1 Teknik Pangan/GiziUsia maksimal 28 tahunKemampuan analisa baikMemiliki komunikasi yang baik, teliti, tekun & siap dibawah tekananMemiliki pengalaman minimal 1 tahun di posisi yang sama lebih disukaiPaham mengenai ISO 22000 & Sertifikasi HalalMengetahui dasar standar-standar produk makanan (GMP, Halal, 5s)Mengetahui dasar tentang raw material dan proses produksi fast foodMengetahui Material Safety Data SheetSiap untuk mengikuti ritme perusahaan yang cepat dan dinamisSiap untuk mobile ke seluruh outlet Richeese FactorySiap untuk penempatan area Makassar",https://www.jobstreet.co.id/id/job/74325899?type=standard&ref=search-standalone
Customer Service Online,Property99.Id Cirebon,Lemahwungkuk,,Call Center & Layanan Konsumen,Layanan Konsumen – Call Center,,2024-03-12,Paruh waktu,"*Job Desk*
membalas Chat Via Whatsapp Respon Klien yang hendak membangun/renovasi Rumah/property lainnya
*Syarat*
1. SMA/SMK/MA
2. Domisili jawa/bali
3. HP Minim ram 4 
4. Komunikasi baik
5. Fast Respon balas chat
*Sistem Kerja*
sistem kerja di Property99 full online, jadi ini bisa dipakai untuk pekerjaan Fulltime atau part time. namun bukan sometime ya
jadi kami membutuhkan kandidat yang memiliki komitmen di dalamnyaPersyaratan minimum:

Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang, Sore
Selasa: Pagi, Siang, Sore
Rabu: Pagi, Siang, Sore
Kamis: Pagi, Siang, Sore
Jum'at: Pagi, Siang, Sore
Sabtu: Pagi, Siang, Sore
Minggu: Pagi, Siang, Sore


Tidak diperlukan pengalaman kerja untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 15 April 2024
Gaji yang diinginkan: Rp2,000,000 - Rp4,000,000 per bulan",https://www.jobstreet.co.id/id/job/74400031?type=standard&ref=search-standalone
staff admin,Persada Mulia,Tandes,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-10,Full time,"dicari staff administrasi usia max. 30tahun yang jujur , teliti dan bertanggung jawab dan mampu bekerja dibawah tekakan  serta bisa mengoperasikan MS OFFICE dan bersedia ditempatkan diseluruh cabang di surabaya
Persyaratan minimum:
Tersedia jam fleksibel
Diperlukan 1 tahun pengalaman kerja yang relevan untuk posisi ini
Kartu izin tinggal dapat diberikan untuk posisi ini
Gaji yang diinginkan: Rp2,500,000 per bulan",https://www.jobstreet.co.id/id/job/74344062?type=standard&ref=search-standalone
Driver B2 Umum,Perusahaan Makanan,Neglasari,,"Manufaktur, Transportasi & Logistik","Kurir, Sopir & Jasa Pos",,15 jam yang lalu,Full time,"PT. Hakiki Donarta, perusahaan yang bergerak di bidang bahan makanan dan minuman, sedang mencari kandidat terbaik untuk penempatan di Pergudangan Aeropolis Technopark D-1,
 Jalan Marsekal Surya Dharma RT5/RW5, Kel. Neglasari, Kec. Neglasari, Kota Tangerang - Banten 12129
Driver B2 Umum (Truk Wingbox)
Kualifikasi
1.    Usia Maks 35 Tahun
2.    Pendidikan Min. SMA/SMK atau Sederajat
3.    Mempunyai HP Android 
4.    Mempunyai sim B2 (umum) aktif
5.    Mempunyai SKCK (masih Berlaku)
6.    Berpengalaman sebagai Driver Truk Wingbox min 3 tahun
7.    Motivasi kerja tinggi, jujur, Teliti, tekun,  dan bertanggung jawab 
8.    Bersedia Untuk Bekerja baik Shift & Atau Lembur 
9.    Dibutuhkan untuk Area Cikupa Kab. Tangerang
Tugas & Tanggung Jawab :
1.    Melakukan pengantaran barang ke alamat yang sudah ditentukan.
2.    Menjaga kebersihan dan kondisi unit truck yang diberikan.
3.    Melakukan serah terima barang ketika berangkat dan Ketika 
sampai alamat tujuan
4.    Memahami standar pemeliharaan kendaraan
5.    Mampu menerapkan safety drive

Persyaratan minimum:
Mencari kandidat untuk bekerja pada:
Senin: Pagi, Siang, Sore
Selasa: Pagi, Siang, Sore
Rabu: Pagi, Siang, Sore
Kamis: Pagi, Siang, Sore
Jum'at: Pagi, Siang, Sore


Diperlukan 2-3 tahun pengalaman kerja yang relevan untuk posisi ini
Pelamar harus memiliki KTP
Tanggal mulai kerja: 01 May 2024",https://www.jobstreet.co.id/id/job/74399699?type=standard&ref=search-standalone
HSE Staff (System),Adaro Minerals,Bulungan,,"Pertambangan, Sumber Daya Alam & Energi","Kesehatan, Keamanan & Lingkungan",,2024-03-09,Kontrak,"Job ResponsibilitiesMelakukan safety talk di seluruh Proyek Kaltara sesuai dengan jadwal yang telah ditetapkan, dengan partisipasi seluruh karyawan dan mitra kerja.Mengumpulkan data mengenai area dan kegiatan yang memerlukan pengawasan yang lebih ketat untuk memberikan saran kepada Departemen Terkait tentang tata cara kerja dan penggunaan alat-alat deteksi serta alat-alat pelindung diri.Melakukan verifikasi data pengajuan induksi pekerja dan menjalankan pelaksanaan Induksi pekerja.Melakukan verifikasi data pengajuan Commisioning alat & berkoordinasi dengan PIC terkait mengenai pelaksanaan Commisioning.Memastikan dokumentasi Implementasi HSES Management System, Reporting, dan menyiapkan data yang dibutuhkan apabila ada audit atau dibutuhkan oleh atasan maupun manajemen.Melakukan sosialisasi terhadap update dokumen HSES baik ke internal perusahaan maupun eksternal (Mitra Kerja).Memastikan komunikasi HSES berjalan dengan baik melalui pertemuan, pelatihan, promosi HSES, dan kegiatan lainnya.Job RequirementsDiploma atau Sarjana dari universitas terkemuka dengan jurusan K3, Teknik Lingkungan, Teknik lainnya.Memiliki Sertifikasi Ahli K3 Umum; A hli Muda K3 Konstruksi, Auditor SMK3 , Intermediate Incident Investigation akan menjadi nilai tambah.Minimal 2 tahun pengalaman pekerjaan dibidang HSE System sebagi Staff (Foreman).        Bersedia di tempatkan di Jobsite Kalimantan Utara.",https://www.jobstreet.co.id/id/job/74330041?type=standout&ref=search-standalone
Administrative & Finance,Champsville Preschool,Jakarta Utara,,Administrasi & Dukungan Perkantoran,Manajemen Perkantoran,,2024-03-06,Full time,"Dibutuhkan ADMIN & Finance untuk Champsville PreschoolLokasi: Jl. Pluit Karang Permai VI Barat No.21 Blok E9, Pluit, Kec. Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450Kontak: +6281311388898Tentang Champsville Preschool:Champsville Preschool adalah tempat yang penuh kasih sayang untuk tumbuh kembang anak-anak. Kami mencari seorang ADMIN & Finance yang berdedikasi untuk bergabung dengan tim kami.Kami berkomitmen memberikan lingkungan yang hangat, nyaman dan aman untuk anak-anak dan tim Champsville Preschool.  Jadilah bagian dari tim kami yang berdedikasi untuk masa depan cerah anak-anak!Tanggung Jawab ADMIN & Finance di Champsville Preschool:o Mengelola tugas administratif  dan finance sehari-hari, termasuk pencatatan, korespondensi, dan penjadwalan.o Berkoordinasi dengan guru, orang tua, dan staf lainnya untuk memastikan operasi berjalan lancar.o Menangani penerimaan siswa, pendaftaran, dan proses registrasi.o Menjaga catatan siswa yang akurat dan memperbarui informasi yang diperlukan.o Berkomunikasi efektif dengan orang tua, menangani pertanyaan, kekhawatiran, dan pembaruan.o Berkolaborasi dengan guru untuk menyebarkan informasi penting.o Membantu mengelola transaksi keuangan, pembayaran uang sekolah, dan pelacakan anggaran.o Bekerja sama dengan tim keuangan untuk memastikan catatan keuangan yang akurat.o Mengatur acara sekolah, pertemuan orang tua-guru, dan pertemuan lainnya.o Memastikan pelaksanaan acara berjalan sukses dan menciptakan suasana yang positif.o Melaksanakan protokol kesehatan dan keselamatan, termasuk prosedur darurat.o Memantau kesehatan siswa dan melaporkan insiden kepada orang tua dan manajemen sekolah.o Mengawasi siswa selama kedatangan, pulang, dan istirahat.o Memberikan dukungan kepada guru dan staf sesuai kebutuhan.Persyaratan untuk ADMIN & Finance Champsville Preschool:o Gelar sarjana di bidang terkait ( Administrasi, Accounting atau sejenisnya).o Pengalaman sebelumnya dalam peran administratif & finance diutamakan.o Kemampuan organisasi yang baik untuk mengelola beberapa tugas dengan efisien.o Perhatian terhadap detail dan akurasi dalam pencatatan.o Memiliki kemampuan berkomunikasi secara lisan dan tertulis dengan baik.o Mampu berinteraksi secara profesional dan bertanggung jawab dengan orang tua, siswa, dan rekan kerja.o Dapat menggunakan perangkat lunak administrasi seperti Microsoft Office, Google Workspace dengan fasih.o Memiliki keterampilan dasar komputer untuk entri data dan komunikasi.o Memiliki pengelaman menjadi bagian dari tim dan berkontribusi pada lingkungan kerja yang mendukung.o Fleksibilitas dalam menghadapi situasi yang tak terduga dan beradaptasi dengan perubahan kebutuhan.o Kemampuan pemecahan masalah untuk mengatasi tantangan secara efektif.Bergabunglah dengan Champsville Preschool dan berkontribusi pada masa depan cerah anak-anak!",https://www.jobstreet.co.id/id/job/74215943?type=standout&ref=search-standalone
Kepala Pemasaran,PT Global Jet Cargo,Denpasar,,Pemasaran & Komunikasi,Asisten/Koordinator Pemasaran,,2024-03-08,Full time,"Persyaratan Posisi :
1. Pengalaman kerja minimal 2 tahun di industri terkait, khususnya dalam bidang pariwisata, hotel, atau akomodasi.2. Memahami operasi dan strategi pemasaran platform pemesanan online seperti Booking, Airbnb, dll.3. Memiliki keterampilan pemasaran digital yang unggul, termasuk pemasaran media sosial, pemasaran konten, dll.
4. Kemampuan berbahasa Mandarin dan Bahasa Indonesia menjadi prioritas.",https://www.jobstreet.co.id/id/job/74311529?type=standard&ref=search-standalone
Cost Accounting,WINGS Group,Jakarta Timur,,Akuntansi,Akuntansi Biaya,"Cost Accounting, Accounting, Cost Controller",2024-03-05,Full time,Requirement :1. Candidate must own at least Bachelor Degree in Accounting with a minimum GPA of 3.00 (on a scale of 4.00)2. At least 1 year of experience in cost accounting3. Freshgraduates are welcome to apply4. Excellent analytical skill & detail oriented Job Description :1. Calculate COGS and COGM of products2. Control material balance and making sure that raw material usage is according to standard3. Coordinate with production team regarding production variance and material usage 4. Conducting monthly closing and regular costing run5. Producing monthly report on margin and expense,https://www.jobstreet.co.id/id/job/74197535?type=standout&ref=search-standalone
Finance Staff,PT Maharupa Gatra,Jakarta Utara,Rp5.068.000 – Rp7.000.000 per month,Akuntansi,Akuntansi & Pelaporan Finansial,"Competitive salary, Supportif team, 07.30 AM - 04.30 PM",2024-03-05,Kontrak,"About usSince late 1970s, MG Sports and Music has been one of the most complete sports and music retail chain stores in Indonesia, opening its first store on Jl. Mangga Besar Raya 30-years ago. Nowadays, MG Sports and Music is operating nearly 180 stores in major cities throughout Indonesia; chances are we are not too far away from where you are, wherever you are within the country. One of the key strength of MG Sports and Music is our world famous product brands that we sell. Brands like Kettler, Arena, Gibson, and Sonor are considered leaders in each of their product categories. For the past years, MG Sports and Music has built those brands by sponsoring numerous sporting and musical events, as well as endorsing prominent national and international sports and music figures. Further information please visit our website www.mg.co.id Qualifications & experience Pendidikan Min. D3/S1 Akuntansi, Ekonomi, ManagementBerpengalaman minimal 2 tahun di bidang Finance/Accounting, diutamakan bekerja di bidang industry retailMemiliki Komunikasi yang baik (ke pihak eksternal maupun internal)Detail dan teliti, Cepat beradaptasi dengan sistem baruMemiliki kemampuan menganalisa yang baikMemiliki pengetahuan yang luas terhadap keuanganMengerti alur akuntansi dan piutang Tasks & responsibilities Melakukan Pencatatan Keuangan harian, arus kas masuk dan keluar serta rekonsiliasi bankMembuat laporan keuangan dan piutang perusahaanMencatat semua data piutang pelanggan berdasarkan seluruh faktur yang tercetakMelakukan pembayaran dan melakukan pencatatan setiap pembayaran kepada pihak luarMencatat semua data piutang pelanggan berdasarkan seluruh faktur yang tercetakMerapikan dan mengecek bon penjualan, struk pembayaran dan settlementMenarik data penjualan ke excel dan melakukan penginputan berdasarkan bon penjualan dan struk pembayaranMengecek setoran tunai toko dan membuat laporan apabila ada kesalahanMembalas email konfirmasi pembayaran customerUpdate harga modalMengecek dan melakukan approve penerimaan barang Benefits BPJS KesehatanBPJS KetenagakerjaanBonus TahunanLingkungan kerja yang nyaman",https://www.jobstreet.co.id/id/job/74193441?type=standout&ref=search-standalone
