Job Title,Company Name,Location,Salary,Job Classification,Job Sub Classification,Facility,Posted Date,Job Type,Job Description,More Detail,Job ID,Job Sub Category
executive business administrator,PT. Sic Mundus Creatus,Semarang,"Rp4,000,000 – Rp6,000,000 per month",Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial","We will provide you with all the tools that’ll help advance your career., You'll work in a multicultural environment that respects your view and values it, You will be well compensated for all your effort towards helping our growth",2024-03-17,,,https://www.jobstreet.co.id/id/job/74217891?type=standout&ref=search-standalone,74217891,Other
talent acquisition officer,PT KOLTIVA,Jakarta Raya,,Sumber Daya Manusia & Perekrutan,Perekrutan – Internal,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74018032?type=standout&ref=search-standalone,74018032,Other
analis kredit,PT. BPR Multi Sembada Dana,Jakarta Pusat,,Perbankan & Layanan Finansial,Analisis & Pelaporan,"Permanent Staff, Remunerasi yang kompetitif, Lokasi Kantor di Pasar Baru Jakarta Pusat",2024-03-16,,,https://www.jobstreet.co.id/id/job/73827400?type=standout&ref=search-standalone,73827400,Other
sr finance and accounting,PT Gulf Oil Lubricants Indonesia,Jakarta Selatan,,Akuntansi,Akuntansi & Pelaporan Finansial,"Mutinational Company, Global Exposure, Global Branding",2024-03-17,,,https://www.jobstreet.co.id/id/job/74122486?type=standout&ref=search-standalone,74122486,Other
admin sosial media,Centratama Motor Malang,Kedungkandang,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74201118?type=standard&ref=search-standalone,74201118,Other
technical engineer - industrial automation,PT Fanah Jaya Maindo,Kemayoran,Rp7.000.000 – Rp10.000.000 per month,Teknik,Teknik Elektro/Elektronik,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74055997?type=standout&ref=search-standalone,74055997,Other
staff marketing,Cv Bintang Mas Sempurna,Padalarang,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74284226?type=standard&ref=search-standalone,74284226,Other
marketing executive,Pos Sinar Makmur Tanjunglaya,Cidadap,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74090044?type=standard&ref=search-standalone,74090044,Other
vp of people strategy,PT. Venteny Fortuna International TBK,Jakarta Selatan,,Sumber Daya Manusia & Perekrutan,Pengembangan Organisasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74082586?type=standard&ref=search-standalone,74082586,Other
sap abap developer,PT FPT Software Indonesia,Jakarta Pusat,"Rp20,000,000 – Rp30,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,"work overseas, good benefit, challenging",2024-03-17,,,https://www.jobstreet.co.id/id/job/74180461?type=standout&ref=search-standalone,74180461,DATA
sales & marketing supervisor,CV. Delta Pillar,Bogor,Rp4.500.000 – Rp6.000.000 per month,Pemasaran & Komunikasi,Asisten/Koordinator Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74171381?type=standout&ref=search-standalone,74171381,Other
import,,Jakarta Selatan,,Teknik,Lainnya,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74149544?type=standard&ref=search-standalone,74149544,Other
payroll staff,PT Santoso Teknindo,Jatiuwung,,Akuntansi,Penggajian,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74111440?type=standout&ref=search-standalone,74111440,Other
kindergarten teacher,Kidz Castle Preschool & Kindergarten,Jakarta Barat,"Rp4,000,000 – Rp5,500,000 per month",Pendidikan & Pelatihan,Pengajaran – Pendidikan Usia Dini,"Attractive bonuses, Paid holidays, Trainings provided",2024-03-17,,,https://www.jobstreet.co.id/id/job/74143663?type=standout&ref=search-standalone,74143663,DATA
sales planning specialist,PT SGMW Motor Indonesia,Jakarta Selatan,,"Manufaktur, Transportasi & Logistik",Analisis & Pelaporan,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74014297?type=standout&ref=search-standalone,74014297,PHP
pengawas arsitek,PT Perentjana Djaja,Jakarta Selatan,,Desain & Arsitektur,Arsitektur Lanskap,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74147840?type=standard&ref=search-standalone,74147840,Other
accounting & tax supervisor,PT Dunia Button Indonesia,Tangerang,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74179875?type=standard&ref=search-standalone,74179875,Other
tax litigation officer,PT RGE Indonesia,Jakarta Pusat,,Akuntansi,Perpajakan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74122129?type=standard&ref=search-standalone,74122129,Other
receptionist,The Labyrinth Collective,Bali,"Rp3,800,000 – Rp4,500,000 per month",Administrasi & Dukungan Perkantoran,Resepsionis,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74221316?type=standout&ref=search-standalone,74221316,Other
it security (sr.),"PT. Trimegah Sekuritas Indonesia, Tbk",Jakarta Selatan,,Teknologi Informasi & Komunikasi,Keamanan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74197863?type=standard&ref=search-standalone,74197863,Other
head of engineering,,Cileungsi,,Teknik,Teknik Elektro/Elektronik,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74138858?type=standout&ref=search-standalone,74138858,Other
pengawas k3,PT Perentjana Djaja,Jakarta Selatan,,Konstruksi,"Kesehatan, Keamanan & Lingkungan",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74147979?type=standard&ref=search-standalone,74147979,Other
otr tires sales representative,PT DSL INDONESIA,Kabupaten Tangerang,Rp5.100.000 – Rp7.000.000 per month,Penjualan,Lainnya,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74179350?type=standard&ref=search-standalone,74179350,Other
senior officer videografer & editor,Gokomodo,Jakarta Selatan,,"Periklanan, Seni & Media",Penyuntingan & Penerbitan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74225558?type=standard&ref=search-standalone,74225558,DATA
"ceo assistant (mandarin speaking,reading,and writing)",PT. CLARIS SUKSES INDONESIA,Tangerang,,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74182385?type=standard&ref=search-standalone,74182385,Other
staff administrasi,,Jakarta Raya,Rp4.000.000 – Rp5.000.000 per month,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74127086?type=standard&ref=search-standalone,74127086,Other
accounting supervisor,PT Sumber Urip Sejati,Surabaya,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74057181?type=standard&ref=search-standalone,74057181,Other
admin proyek,PT Samudra Teknindo Hydraumatic,Jakarta Utara,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74226399?type=standard&ref=search-standalone,74226399,Other
account officer,PT BPR Prima Kredit Mandiri,Tangerang,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74056541?type=standard&ref=search-standalone,74056541,Other
sales administration officer,PT NOVELITE NEW MATERIALS INDONESIA,Tangerang,"Rp8,000,000 – Rp10,000,000 per month",Administrasi & Dukungan Perkantoran,Administrasi Klien & Penjualan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74250916?type=standard&ref=search-standalone,74250916,Other
stok (inventory),,Jakarta Utara,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74088225?type=standout&ref=search-standalone,74088225,Other
hr manager,,Denpasar,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74148479?type=standout&ref=search-standalone,74148479,Other
senior finance manager,PT Advance Intelligence Indonesia,Jakarta Pusat,"Rp35,000,000 – Rp50,000,000 per month",Akuntansi,Manajer & Kontroler Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74274827?type=standard&ref=search-standalone,74274827,Other
hr specialist,PT MAGIC SQUARE INDONESIA,Jakarta Barat,"Rp6,000,000 – Rp8,000,000 per month",Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150479?type=standard&ref=search-standalone,74150479,PHP
tutor,PT SGS Indonesia,Jakarta Selatan,,Pendidikan & Pelatihan,Tutor,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74194140?type=standard&ref=search-standalone,74194140,Other
estimator (furniture),PT Hema Medhajaya,Cikupa,,Teknik,Teknik Industri,"Career Growth, BPJS, Working Days: Monday to Friday",2024-03-17,,,https://www.jobstreet.co.id/id/job/74119163?type=standout&ref=search-standalone,74119163,Other
staf conten creator / multimedia.,PT Kreatif Media Pariwara,Cengkareng,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74202535?type=standard&ref=search-standalone,74202535,Other
staff accounting,PT Gajahpangan Jaya Makmur,Bekasi,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74172918?type=standout&ref=search-standalone,74172918,Other
ppic supervisor,PT Multi Arthamas Glass Industry,Bekasi,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi","BPJS Kesehatan, Makan Siang, Jenjang Karir",2024-03-17,,,https://www.jobstreet.co.id/id/job/74141332?type=standout&ref=search-standalone,74141332,Other
corporate planning assistant manager,PT Nipsea Paint & Chemicals,Jakarta Utara,,Penjualan,Pengembangan Bisnis Baru,"THR 1,25x salary, Work day - Monday to Friday, Health Insurance",2024-03-17,,,https://www.jobstreet.co.id/id/job/74111598?type=standout&ref=search-standalone,74111598,Other
accounting tax & ga assistant manager - services - jakarta barat (c-104034),RGF HR Agent Indonesia,Jakarta Barat,"Rp8,500,000 – Rp9,500,000 per month",Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74183177?type=standard&ref=search-standalone,74183177,Other
staff administrasi,IndoRental,Yogyakarta,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,,,https://www.jobstreet.co.id/id/job/73953180?type=standard&ref=search-standalone,73953180,Other
staf administrasi cabang,PT RUTAN,Subang,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74017611?type=standard&ref=search-standalone,74017611,Other
engineer mechanical - combined cycle power plant,PT Amman Mineral Nusa Tenggara,Sumbawa,,Teknik,Teknik Mesin,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74260270?type=standout&ref=search-standalone,74260270,Other
land transport sales manager,PT Schenker Logistics Indonesia,Cengkareng,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74138657?type=standout&ref=search-standalone,74138657,Other
marketing online,Violet Beauty,Jawa Barat,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74157153?type=standard&ref=search-standalone,74157153,Other
crew,Ayam Geprek Pangeran Proklamasi,Sumatera Selatan,,Hospitaliti & Pariwisata,Pelayan,,2024-03-16,,,https://www.jobstreet.co.id/id/job/73922644?type=standard&ref=search-standalone,73922644,Other
content creator,PT. SATU BISNIS INDONESIA,Tangerang,"Rp5,500,000 – Rp8,000,000 per month",Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74165550?type=standout&ref=search-standalone,74165550,Other
hc&ga regional supervisor (ntb),PT Maju Aman Sejahtera,Ampenan,Rp3.300.000 – Rp4.000.000 per month,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74139156?type=standout&ref=search-standalone,74139156,Other
hc&ga regional supervisor (jatim),PT Maju Aman Sejahtera,Surabaya,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74139044?type=standout&ref=search-standalone,74139044,Other
hc&ga regional supervisor (sulsel),PT Maju Aman Sejahtera,Makassar,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74138776?type=standout&ref=search-standalone,74138776,Other
digital media planner,PT Central Mega Kencana,Jakarta Selatan,,Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150445?type=standard&ref=search-standalone,74150445,Other
manager engineering,PT Yasunli Abadi Utama Plastik,Bekasi,,Teknik,Manajemen,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74186274?type=standout&ref=search-standalone,74186274,Other
sap abap developer,PT Gaweku Human Technology (Gaweku),Jakarta Raya,"Rp30,000,000 – Rp40,000,000 per month",Teknologi Informasi & Komunikasi,Developer/Programmer,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74198177?type=standard&ref=search-standalone,74198177,DATA
admin,Kopi Siip Malang,Candi,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74195042?type=standard&ref=search-standalone,74195042,Other
junior social media officer (bali),AITI Media,Bali,,Desain & Arsitektur,Desain Graifs,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74195115?type=standard&ref=search-standalone,74195115,PHP
accounting supervisor,PT Nayati Indonesia,Semarang,"IDR 6,000,000 - 7,000,000",Akuntansi,Akuntansi & Pelaporan Finansial,"Competitive salary and benefits, Comfortable work culture and work environment, Career Growth",2024-03-17,,,https://www.jobstreet.co.id/id/job/74148808?type=standout&ref=search-standalone,74148808,Other
area manager,,Jakarta Barat,"Rp6,000,000 – Rp8,000,000 per month",Ritel & Produk Konsumen,Manajemen – Area/Multi-lokasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74145538?type=standard&ref=search-standalone,74145538,Other
sales,PT. ACOOLER COLD CHAIN EQUIPMENT,Jakarta Raya,,Penjualan,Perwakilan/Konsultan Penjualan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150073?type=standout&ref=search-standalone,74150073,Other
business development,PT Puninar Jaya,Cakung,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74148711?type=standard&ref=search-standalone,74148711,DATA
l2 network security engineer,PT Huyula Asri Indonesia,Jakarta Selatan,,Teknologi Informasi & Komunikasi,Administrasi Jaringan & Sistem,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74192489?type=standard&ref=search-standalone,74192489,Other
manager telemarketing,Racika Falah,Yogyakarta,,Penjualan,Manajemen,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74157128?type=standard&ref=search-standalone,74157128,Other
ar administration staff,PT Propan Raya Industrial Coating Chemicals (HCBP ),Tegal,,Administrasi & Dukungan Perkantoran,Asisten Administratif,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74149580?type=standard&ref=search-standalone,74149580,Other
chief financial officer (cfo),PT Wahana Sejahtera Indonesia,Jakarta Selatan,,Akuntansi,Manajer & Kontroler Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74173495?type=standout&ref=search-standalone,74173495,PHP
operational buyer,PT Gea Westfalia Separator Indonesia,Jakarta Barat,,"Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74159250?type=standout&ref=search-standalone,74159250,Other
graphic design staff,Retail Orang Tua Group,Jakarta Barat,,Desain & Arsitektur,Desain Graifs,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74148302?type=standard&ref=search-standalone,74148302,DATA
finance accounting executive,PT Redpod Indonesia,Jakarta Utara,,Akuntansi,Akuntansi & Pelaporan Finansial,"Excellent Environment, Dynamic Team, Great Benefits",2024-03-16,,,https://www.jobstreet.co.id/id/job/74015350?type=standout&ref=search-standalone,74015350,Other
kepala unit medical record,PT Binara Guna Mediktama,Tangerang Selatan,,Kesehatan & Medis,Manajemen,,2024-03-16,,,https://www.jobstreet.co.id/id/job/74018073?type=standout&ref=search-standalone,74018073,Other
hcbp manager,Agrinesia Raya,Bogor,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,"Private Insurance (Dental, Inpatient, Outpatient), Lunch Benefit to Employees, Communication Allowance",2024-03-17,,,https://www.jobstreet.co.id/id/job/74116767?type=standout&ref=search-standalone,74116767,Other
manager marketing,Albrasa Internasional Sertifikasi,Jakarta Raya,,Pemasaran & Komunikasi,Manajemen,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74063023?type=standard&ref=search-standalone,74063023,Other
technical assistant (garment),PT MAS ARYA INDONESIA,Jawa Tengah,,"Manufaktur, Transportasi & Logistik",Operator Mesin,"Have a good career progression, Lunch and Private Insurances, Gym Facility",2024-03-17,,,https://www.jobstreet.co.id/id/job/74081128?type=standout&ref=search-standalone,74081128,Other
sales staff,PT World Innovative Telecommunication,Kesambi,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74089817?type=standard&ref=search-standalone,74089817,Other
hr generalist - process expansion project,PT Amman Mineral Nusa Tenggara,Sumbawa,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,"HR, Mining, Project",2024-03-17,,,https://www.jobstreet.co.id/id/job/74207430?type=standout&ref=search-standalone,74207430,Other
staff pajak senior,,Jakarta Raya,,Akuntansi,Perpajakan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74062026?type=standout&ref=search-standalone,74062026,Other
sales executive (building material),,Jawa Timur,Rp7.000.000 – Rp10.000.000 per month,Penjualan,Perwakilan/Konsultan Penjualan,"Opportunity to progress your career, Collaborative & friendly working environment as a form of teamwork, Excellent remuneration package based on experience",2024-03-17,,,https://www.jobstreet.co.id/id/job/74165363?type=standout&ref=search-standalone,74165363,Other
accounting staff,CV. RICH MAKMUR SEMESTA,Tangerang,Rp3.500.000 – Rp4.500.000 per month,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74056696?type=standard&ref=search-standalone,74056696,Other
general manager operational,,Bogor,,CEO & Manajemen Umum,Manajer Umum/Unit Bisnis,Salary,2024-03-17,,,https://www.jobstreet.co.id/id/job/74154755?type=standout&ref=search-standalone,74154755,Other
staff fa (kolektor),PT Rolimex Kimia Nusamas,Surabaya,,Akuntansi,Akuntansi & Pelaporan Finansial,"Finance Accounting, Perpajakan, Collector",2024-03-17,,,https://www.jobstreet.co.id/id/job/74214921?type=standout&ref=search-standalone,74214921,Other
manager & staff marketing freelance,Albrasa Internasional Sertifikasi,Jakarta Raya,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74063341?type=standout&ref=search-standalone,74063341,Other
finance,PT. ACOOLER COLD CHAIN EQUIPMENT,Jakarta Raya,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150460?type=standout&ref=search-standalone,74150460,Other
trade marketing manager (general & local modern trade)-fmcg,,Jakarta Raya,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74156573?type=standard&ref=search-standalone,74156573,DATA
trade marketing manager (general & local modern trade)-fmcg,,Jakarta Raya,,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74148587?type=standard&ref=search-standalone,74148587,DATA
engineer electrical - combined cycle power plant,PT Amman Mineral Nusa Tenggara,Sumbawa,,Teknik,Teknik Elektro/Elektronik,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74260185?type=standout&ref=search-standalone,74260185,Other
ict security staff,PT Maybank Indonesia Finance,Jakarta Pusat,,Teknologi Informasi & Komunikasi,Keamanan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150447?type=standard&ref=search-standalone,74150447,Other
sales manager,PT Prima Hidup Lestari,Jakarta Selatan,Rp8.000.000 – Rp12.000.000 per month,Penjualan,Manajemen,"Honest,Care, Openess, Fun, Profesional, Dynamics Environment, Synergy & Passionate Team",2024-03-16,,,https://www.jobstreet.co.id/id/job/74049536?type=standout&ref=search-standalone,74049536,Other
"electrical, instrument & automation superintendent (pulp industry)",PT Phoenix Resources International,Tarakan,,Teknik,Teknik Elektro/Elektronik,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74236249?type=standard&ref=search-standalone,74236249,DATA
manager digital marketing,PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant),Jakarta Selatan,,Pemasaran & Komunikasi,Pemasaran Digital & Pencarian,"BPJS, Career growth",2024-03-17,,,https://www.jobstreet.co.id/id/job/74057475?type=standout&ref=search-standalone,74057475,Other
inventory manager,"PT Electronic City Indonesia, Tbk",Jakarta Selatan,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-16,,,https://www.jobstreet.co.id/id/job/74021244?type=standout&ref=search-standalone,74021244,Other
sustainability & esg (project management),Siloam Hospitals Group (Tbk),Karawaci,,Hukum,Hukum Lingkungan & Perencanaan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74089581?type=standard&ref=search-standalone,74089581,Other
credit & collection manager,PT. MITRA SEMEN ASIA,Jakarta Raya,,Akuntansi,Piutang Usaha/Pengendalian Kredit,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74216303?type=standard&ref=search-standalone,74216303,Other
import staff - furniture (c-103936),RGF HR Agent Indonesia,Jakarta Raya,"Rp7,000,000 – Rp10,000,000 per month","Manufaktur, Transportasi & Logistik","Pembelian, Pengadaan & Inventaris",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74088875?type=standard&ref=search-standalone,74088875,Other
accounting,Mindo Solutions,Mergangsan,,Akuntansi,Pembukuan & Akuntansi Praktik Kecil,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74283414?type=standard&ref=search-standalone,74283414,Other
staff it,PT Primajaya Prasarana,Depok,,Teknologi Informasi & Komunikasi,Meja Bantuan & Dukungan IT,"Trip Perjalanan Dalam/Luar Negeri., Medical Claim., Bonus Tahunan",2024-03-17,,,https://www.jobstreet.co.id/id/job/74111705?type=standout&ref=search-standalone,74111705,Other
channel account manager,PT. Pintar Inovasi Digital,Jakarta Selatan,,Penjualan,Manajemen Akun & Relasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74150101?type=standout&ref=search-standalone,74150101,Other
building tenancy management coordinator,Karunia Prima Nastari (KPN CORP.),Cempaka Putih,,Real Estat & Properti,Manajemen Badan Korporat & Fasilitas,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74216321?type=standard&ref=search-standalone,74216321,Other
maketing,PT. ARTHA GENETIKALAB INDONESIA,Kotagede,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74281835?type=standard&ref=search-standalone,74281835,Other
medical product consultant,PT Sukses Bersama Setiawan,Jakarta Pusat,Rp6.000.000 – Rp7.000.000 per month,Kesehatan & Medis,Penjualan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74054177?type=standard&ref=search-standalone,74054177,Other
"account manager (food & beverage, pharma, and feed)",PT Gogomedia Visindo,Jakarta Pusat,Rp8.000.000 – Rp11.200.000 per month,Penjualan,Pengembangan Bisnis Baru,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74197551?type=standard&ref=search-standalone,74197551,Other
"logistic system specialist (bawen, semarang)",PT Lion Super Indo,Bawen,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74147842?type=standard&ref=search-standalone,74147842,PHP
chief accounting,PT Soejasch Bali,Denpasar Barat,,Akuntansi,Akuntansi & Pelaporan Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74282730?type=standard&ref=search-standalone,74282730,Other
production supervisor (furniture & chair),PT Hema Medhajaya,Cikupa,,"Manufaktur, Transportasi & Logistik",Pemimpin Tim/Supervisor,"Career Growth, BPJS",2024-03-17,,,https://www.jobstreet.co.id/id/job/74122309?type=standout&ref=search-standalone,74122309,Other
sales b2b (furniture business),Retail Orang Tua Group,Jakarta Barat,,Penjualan,Manajemen Akun & Relasi,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74146392?type=standard&ref=search-standalone,74146392,Other
finance and accounting manager,PT Das Cargo,Jakarta Raya,,Akuntansi,Manajer & Kontroler Finansial,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74149041?type=standard&ref=search-standalone,74149041,Other
e-commerce assistant manager,PT Happy Pet Indonesia,Jakarta Selatan,"Rp18,000,000 – Rp22,000,000 per month",Ritel & Produk Konsumen,Manajemen – Toko,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74197862?type=standout&ref=search-standalone,74197862,Other
hrd,PT Kreasibeton Nusapersada,Medan,,Sumber Daya Manusia & Perekrutan,Konsultasi & HR Umum,"STAFF HRD, Pendidikan S1 jurusan Psikologi / Manajamen SDM",2024-03-17,,,https://www.jobstreet.co.id/id/job/74056854?type=standout&ref=search-standalone,74056854,Other
warehouse leader,PT Surya Indo Plastic,Sidoarjo,,"Manufaktur, Transportasi & Logistik","Pergudangan, Penyimpanan & Distribusi",,2024-03-17,,,https://www.jobstreet.co.id/id/job/74217578?type=standout&ref=search-standalone,74217578,DATA
"cmo (gorontalo,banjarmasin,palangkaraya,manado,palu,bengkulu,sidoarjo,pontianak)","PT Clipan Finance Indonesia, Tbk",Gorontalo,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74059235?type=standard&ref=search-standalone,74059235,Other
community & campaign deputy manager,PT Piaggio Indonesia,Jakarta Pusat,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74081491?type=standout&ref=search-standalone,74081491,DATA
grant consultant (freelance),Yayasan Agri Sustineri Indonesia,Jakarta Selatan,,Pemasaran & Komunikasi,Komunikasi Pemasaran,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74080441?type=standout&ref=search-standalone,74080441,Other
area credit manager - jawa tengah area,PT Mega Central Finance,Jawa Tengah,,Perbankan & Layanan Finansial,Kredit,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74087031?type=standard&ref=search-standalone,74087031,Other
software developer,PT Cipta Satria Informatika,Jatisampurna,,Teknologi Informasi & Komunikasi,Developer/Programmer,"Good work/life balance, Annual Bonus, Personal Improvement",2024-03-17,,,https://www.jobstreet.co.id/id/job/74187993?type=standout&ref=search-standalone,74187993,OTHER_IT
business development representative,PT Data Labs Analytics,Jakarta Pusat,,Penjualan,Perwakilan/Konsultan Penjualan,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74105348?type=standout&ref=search-standalone,74105348,DATA
sales,PT. Aplikasi Minyak Goreng Indonesia,Sambikerep,,Ritel & Produk Konsumen,Asisten Ritel,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74282608?type=standard&ref=search-standalone,74282608,Other
tiktok coordinator,PT Maha Nagari Nusantara (TORCH.ID),Bandung,,Penjualan,Analisis & Pelaporan,"Agile & super fast growing company, Fun working team & environment, Based in the vibrant city of Bandung",2024-03-17,,,https://www.jobstreet.co.id/id/job/74174810?type=standout&ref=search-standalone,74174810,Other
asisten manager investasi,Dana Pensiun BTN,Jakarta Pusat,Rp10.000.000 – Rp13.000.000 per month,Hospitaliti & Pariwisata,Manajemen,,2024-03-17,,,https://www.jobstreet.co.id/id/job/74211633?type=standard&ref=search-standalone,74211633,Other
